Test,Typ,Tid_ms,AntalProdukter
68,"Sortering: Standard",125,2000
69,"Sortering: price-asc",128,2000
70,"Sortering: price-desc",118,2000
71,"Sortering: price-desc",119,2000
72,"Sökning: Apple",114,223
73,"Sökning: H&M",122,238
74,"Kategori: Leksaker",111,397
75,"Kategori: Leksaker",111,397
76,"Sortering: price-asc",129,2000
77,"Sökning: LG",119,248
78,"Kategori: Leksaker",117,397
79,"Kategori: Kläder",114,392
80,"Sökning: Nike",116,261
81,"Sortering: name",122,2000
82,"Sortering: name",127,2000
83,"Kategori: Kläder",118,392
84,"Sökning: Samsung",112,245
85,"Sökning: Sport",111,404
86,"Kategori: Alla",116,2000
87,"Sökning: Adidas",122,277
88,"Kategori: Alla",129,2000
89,"Kategori: Hem & Trädgård",119,408
90,"Sortering: price-asc",119,2000
91,"Sortering: name",118,2000
92,"Kategori: Elektronik",114,399
93,"Sökning: Sony",115,267
94,"Sortering: price-asc",116,2000
95,"Sortering: price-asc",131,2000
96,"Sökning: LG",117,248
97,"Sökning: Samsung",110,245
98,"Kategori: Leksaker",112,397
99,"Sökning: H&M",108,238
100,"Kategori: Leksaker",117,397
101,"Sökning: H&M",116,238
102,"Sökning: Nike",114,261
103,"Kategori: Kläder",113,392
104,"Sökning: H&M",115,238
105,"Sortering: price-desc",130,2000
106,"Sökning: LG",117,248
107,"Kategori: Hem & Trädgård",114,408
108,"Kategori: Kläder",107,392
109,"Sortering: price-desc",127,2000
110,"Sökning: Apple",116,223
111,"Sökning: LG",112,248
112,"Sortering: price-desc",122,2000
113,"Sökning: Adidas",115,277
114,"Kategori: Elektronik",113,399
115,"Kategori: Alla",117,2000
116,"Sortering: Standard",117,2000
117,"Sortering: name",131,2000
118,"Sökning: Samsung",108,245
119,"Sortering: price-asc",128,2000
120,"Sortering: name",117,2000
121,"Kategori: Alla",125,2000
122,"Sortering: price-desc",117,2000
123,"Kategori: Hem & Trädgård",115,408
124,"Sökning: Nike",117,261
125,"Sortering: price-desc",128,2000
126,"Sortering: name",117,2000
127,"Sökning: Samsung",118,245
128,"Kategori: Alla",119,2000
129,"Sortering: Standard",122,2000
130,"Sökning: Sport",111,404
131,"Sökning: Nike",114,261
132,"Kategori: Elektronik",114,399
133,"Sökning: Samsung",114,245
134,"Kategori: Kläder",114,392
135,"Sökning: Elektronik",116,399
136,"Sortering: price-asc",118,2000
137,"Kategori: Hem & Trädgård",116,408
138,"Sortering: price-asc",118,2000
139,"Kategori: Leksaker",121,397
140,"Kategori: Leksaker",118,397
141,"Kategori: Leksaker",112,397
142,"Sökning: Sony",110,267
143,"Kategori: Alla",117,2000
144,"Sortering: name",121,2000
145,"Sortering: Standard",128,2000
146,"Sortering: price-desc",121,2000
147,"Kategori: Sport",117,404
148,"Kategori: Hem & Trädgård",110,408
149,"Kategori: Alla",118,2000
150,"Kategori: Leksaker",114,397
151,"Kategori: Kläder",115,392
152,"Kategori: Leksaker",116,397
153,"Kategori: Hem & Trädgård",115,408
154,"Sortering: Standard",119,2000
155,"Sökning: Elektronik",116,399
156,"Sökning: IKEA",116,241
157,"Kategori: Elektronik",116,399
158,"Sortering: price-asc",117,2000
159,"Sortering: price-asc",119,2000
160,"Kategori: Leksaker",112,397
161,"Sökning: LG",114,248
162,"Kategori: Alla",116,2000
163,"Sökning: Sony",111,267
164,"Sortering: Standard",117,2000
165,"Kategori: Kläder",121,392
166,"Sökning: Sport",115,404
167,"Sortering: Standard",122,2000
168,"Sortering: price-desc",128,2000
169,"Sortering: price-asc",120,2000
170,"Sökning: Sport",114,404
171,"Kategori: Elektronik",119,399
172,"Sökning: LG",117,248
173,"Sökning: Apple",117,223
174,"Sökning: Apple",115,223
175,"Sökning: Samsung",114,245
176,"Sortering: Standard",117,2000
177,"Sortering: Standard",119,2000
178,"Sökning: LG",116,248
179,"Sökning: Sport",114,404
180,"Kategori: Hem & Trädgård",118,408
181,"Sökning: Samsung",119,245
182,"Sortering: price-desc",129,2000
183,"Kategori: Hem & Trädgård",112,408
184,"Sortering: name",117,2000
185,"Sortering: Standard",117,2000
186,"Sökning: Sony",109,267
187,"Kategori: Hem & Trädgård",117,408
188,"Sortering: Standard",127,2000
189,"Sortering: Standard",117,2000
190,"Kategori: Sport",114,404
191,"Sortering: price-asc",124,2000
192,"Kategori: Hem & Trädgård",110,408
193,"Kategori: Alla",132,2000
194,"Sortering: Standard",118,2000
195,"Kategori: Alla",118,2000
196,"Sortering: Standard",127,2000
197,"Sortering: name",117,2000
198,"Kategori: Hem & Trädgård",121,408
199,"Sökning: IKEA",115,241
200,"Sortering: price-desc",117,2000
201,"Sortering: Standard",119,2000
202,"Kategori: Sport",115,404
203,"Sökning: LG",118,248
204,"Kategori: Elektronik",114,399
205,"Sökning: Sport",117,404
206,"Sökning: LG",108,248
207,"Sortering: price-desc",118,2000
208,"Sökning: Adidas",113,277
209,"Sökning: Apple",109,223
210,"Sortering: Standard",130,2000
211,"Kategori: Kläder",117,392
212,"Sökning: IKEA",111,241
213,"Sökning: Nike",114,261
214,"Kategori: Alla",118,2000
215,"Sökning: Nike",114,261
216,"Sökning: LG",110,248
217,"Kategori: Elektronik",115,399
218,"Sortering: price-asc",119,2000
219,"Sortering: Standard",118,2000
220,"Sökning: Apple",108,223
221,"Sortering: Standard",117,2000
222,"Sortering: price-desc",120,2000
223,"Kategori: Alla",117,2000
224,"Sortering: name",126,2000
225,"Sökning: Sport",114,404
226,"Sökning: IKEA",109,241
227,"Kategori: Hem & Trädgård",113,408
228,"Sökning: Sony",119,267
229,"Sortering: price-asc",119,2000
230,"Sortering: name",119,2000
231,"Sortering: price-desc",128,2000
232,"Kategori: Kläder",114,392
233,"Sortering: Standard",123,2000
234,"Kategori: Elektronik",118,399
235,"Sökning: Adidas",110,277
236,"Sortering: Standard",117,2000
237,"Sortering: price-desc",120,2000
238,"Sortering: Standard",128,2000
239,"Kategori: Alla",124,2000
240,"Kategori: Leksaker",123,397
241,"Kategori: Leksaker",122,397
242,"Kategori: Kläder",119,392
243,"Sortering: name",123,2000
244,"Sökning: LG",115,248
245,"Kategori: Hem & Trädgård",114,408
246,"Kategori: Alla",122,2000
247,"Kategori: Hem & Trädgård",111,408
248,"Kategori: Sport",114,404
249,"Sökning: Sony",115,267
250,"Kategori: Alla",121,2000
251,"Kategori: Hem & Trädgård",112,408
252,"Kategori: Elektronik",110,399
253,"Kategori: Sport",119,404
254,"Sortering: price-desc",121,2000
255,"Sökning: LG",113,248
256,"Kategori: Alla",118,2000
257,"Sortering: name",128,2000
258,"Sökning: Elektronik",115,399
259,"Sökning: Apple",115,223
260,"Sortering: price-desc",119,2000
261,"Kategori: Leksaker",117,397
262,"Sortering: price-desc",118,2000
263,"Sökning: Sony",110,267
264,"Sökning: Sony",114,267
265,"Sortering: Standard",120,2000
266,"Kategori: Sport",113,404
267,"Kategori: Hem & Trädgård",119,408
268,"Sortering: price-desc",127,2000
269,"Sökning: LG",121,248
270,"Sortering: name",131,2000
271,"Sökning: Apple",122,223
272,"Sökning: Nike",114,261
273,"Kategori: Hem & Trädgård",116,408
274,"Sortering: name",129,2000
275,"Sökning: Nike",108,261
276,"Kategori: Hem & Trädgård",111,408
277,"Kategori: Sport",108,404
278,"Sortering: Standard",121,2000
279,"Kategori: Leksaker",111,397
280,"Sökning: Sony",111,267
281,"Sortering: price-desc",116,2000
282,"Sökning: Sport",120,404
283,"Sökning: LG",114,248
284,"Kategori: Sport",116,404
285,"Kategori: Hem & Trädgård",113,408
286,"Sökning: Elektronik",113,399
287,"Sökning: LG",111,248
288,"Kategori: Kläder",121,392
289,"Kategori: Alla",130,2000
290,"Kategori: Sport",118,404
291,"Sortering: Standard",129,2000
292,"Sortering: price-asc",127,2000
293,"Kategori: Elektronik",113,399
294,"Sortering: name",117,2000
295,"Sortering: name",127,2000
296,"Sortering: Standard",131,2000
297,"Kategori: Sport",116,404
298,"Kategori: Kläder",114,392
299,"Sortering: price-asc",122,2000
300,"Kategori: Sport",114,404
301,"Sökning: Samsung",107,245
302,"Sökning: Adidas",114,277
303,"Kategori: Kläder",114,392
304,"Kategori: Leksaker",120,397
305,"Kategori: Leksaker",111,397
306,"Sortering: price-asc",124,2000
307,"Sortering: name",121,2000
308,"Sökning: Apple",108,223
309,"Kategori: Kläder",118,392
310,"Kategori: Leksaker",115,397
311,"Sökning: IKEA",117,241
312,"Sökning: Adidas",107,277
313,"Kategori: Alla",120,2000
314,"Kategori: Kläder",111,392
315,"Sökning: IKEA",115,241
316,"Sökning: IKEA",109,241
317,"Kategori: Sport",117,404
318,"Kategori: Leksaker",114,397
319,"Sökning: Sony",113,267
320,"Sortering: price-desc",128,2000
321,"Sortering: price-desc",120,2000
322,"Kategori: Leksaker",119,397
323,"Sortering: price-desc",119,2000
324,"Kategori: Alla",126,2000
325,"Sortering: price-desc",128,2000
326,"Sökning: IKEA",111,241
327,"Kategori: Alla",118,2000
328,"Sortering: Standard",131,2000
329,"Sökning: Sony",113,267
330,"Sökning: Sport",114,404
331,"Sökning: Sony",113,267
332,"Sökning: IKEA",111,241
333,"Sortering: price-desc",129,2000
334,"Sökning: Sport",118,404
335,"Sortering: name",118,2000
336,"Kategori: Alla",120,2000
337,"Kategori: Kläder",113,392
338,"Sortering: price-asc",118,2000
339,"Kategori: Hem & Trädgård",114,408
340,"Sökning: LG",116,248
341,"Kategori: Kläder",110,392
342,"Sortering: name",120,2000
343,"Kategori: Sport",120,404
344,"Sortering: name",124,2000
345,"Sortering: name",132,2000
346,"Kategori: Leksaker",115,397
347,"Sökning: LG",116,248
348,"Kategori: Elektronik",115,399
349,"Sökning: LG",115,248
350,"Sortering: price-desc",122,2000
351,"Sortering: price-desc",128,2000
352,"Sökning: H&M",112,238
353,"Kategori: Hem & Trädgård",117,408
354,"Sortering: price-desc",117,2000
355,"Sökning: Nike",112,261
356,"Kategori: Alla",126,2000
357,"Sortering: Standard",119,2000
358,"Sökning: H&M",117,238
359,"Kategori: Elektronik",116,399
360,"Sökning: Samsung",116,245
361,"Sortering: name",122,2000
362,"Kategori: Sport",120,404
363,"Kategori: Kläder",121,392
364,"Sortering: Standard",128,2000
365,"Sortering: price-desc",119,2000
366,"Sökning: H&M",113,238
367,"Sortering: Standard",117,2000
368,"Sortering: price-asc",132,2000
369,"Sökning: Sony",109,267
370,"Sökning: Nike",117,261
371,"Sökning: Elektronik",117,399
372,"Sökning: Sport",115,404
373,"Sortering: price-desc",130,2000
374,"Sortering: price-asc",122,2000
375,"Sortering: price-asc",122,2000
376,"Kategori: Alla",128,2000
377,"Kategori: Sport",115,404
378,"Sökning: Apple",120,223
379,"Sortering: Standard",120,2000
380,"Sökning: H&M",113,238
381,"Sökning: Nike",111,261
382,"Sortering: price-desc",120,2000
383,"Sortering: name",119,2000
384,"Sortering: name",121,2000
385,"Sortering: Standard",120,2000
386,"Kategori: Elektronik",114,399
387,"Sökning: Sony",111,267
388,"Sökning: Apple",115,223
389,"Sökning: Apple",109,223
390,"Sökning: Adidas",114,277
391,"Kategori: Kläder",111,392
392,"Sortering: Standard",120,2000
393,"Sortering: Standard",120,2000
394,"Kategori: Sport",110,404
395,"Sökning: Nike",119,261
396,"Kategori: Leksaker",117,397
397,"Sortering: Standard",119,2000
398,"Sökning: LG",112,248
399,"Sökning: Elektronik",120,399
400,"Sökning: Samsung",111,245
401,"Sortering: name",121,2000
402,"Sökning: Nike",111,261
403,"Sortering: name",119,2000
404,"Sortering: price-asc",119,2000
405,"Sortering: price-desc",120,2000
406,"Sökning: IKEA",114,241
407,"Kategori: Kläder",115,392
408,"Sortering: Standard",118,2000
409,"Sökning: Sport",114,404
410,"Sökning: Sony",112,267
411,"Sortering: price-desc",991,2000
412,"Sortering: Standard",993,2000
413,"Kategori: Hem & Trädgård",987,408
414,"Sökning: Nike",1001,261
415,"Sortering: price-asc",991,2000
416,"Sökning: Elektronik",996,399
417,"Sortering: price-asc",1002,2000
418,"Sortering: price-asc",995,2000
419,"Sökning: Samsung",1002,245
420,"Kategori: Alla",1001,2000
421,"Sökning: Nike",991,261
422,"Sökning: LG",1001,248
423,"Kategori: Kläder",994,392
424,"Kategori: Elektronik",2010,399
425,"Kategori: Leksaker",2007,397
426,"Sökning: Elektronik",2006,399
427,"Kategori: Leksaker",110,397
428,"Sortering: Standard",125,2000
429,"Sökning: Nike",108,261
430,"Kategori: Leksaker",109,397
431,"Sökning: Adidas",107,277
432,"Kategori: Alla",117,2000
433,"Kategori: Sport",106,404
434,"Sökning: IKEA",106,241
435,"Sökning: Apple",107,223
436,"Sortering: Standard",116,2000
437,"Sökning: Apple",107,223
438,"Sortering: Standard",114,2000
439,"Kategori: Sport",109,404
440,"Sökning: Sport",107,404
441,"Sökning: Samsung",106,245
442,"Sortering: price-asc",114,2000
443,"Sortering: name",114,2000
444,"Sortering: name",114,2000
445,"Kategori: Hem & Trädgård",106,408
446,"Sortering: price-desc",117,2000
447,"Kategori: Hem & Trädgård",109,408
448,"Sökning: H&M",108,238
449,"Sökning: Elektronik",108,399
450,"Kategori: Alla",117,2000
451,"Sökning: Nike",107,261
452,"Kategori: Sport",109,404
453,"Kategori: Kläder",107,392
454,"Kategori: Kläder",108,392
455,"Sortering: name",115,2000
456,"Sökning: Adidas",106,277
457,"Sortering: price-asc",116,2000
458,"Kategori: Elektronik",109,399
459,"Sortering: name",114,2000
460,"Kategori: Alla",116,2000
461,"Sortering: name",114,2000
462,"Sökning: Adidas",106,277
463,"Sökning: LG",106,248
464,"Sökning: Sony",109,267
465,"Kategori: Elektronik",107,399
466,"Kategori: Elektronik",108,399
467,"Kategori: Elektronik",107,399
468,"Sökning: Apple",106,223
469,"Sortering: Standard",114,2000
470,"Sökning: Sony",109,267
471,"Sortering: name",120,2000
472,"Kategori: Leksaker",106,397
473,"Kategori: Hem & Trädgård",109,408
474,"Sortering: price-desc",117,2000
475,"Kategori: Elektronik",108,399
476,"Kategori: Elektronik",109,399
477,"Sortering: Standard",115,2000
478,"Kategori: Kläder",110,392
479,"Sortering: Standard",114,2000
480,"Kategori: Kläder",108,392
481,"Sortering: price-asc",114,2000
482,"Sortering: price-asc",117,2000
483,"Sökning: Elektronik",106,399
484,"Sökning: Apple",108,223
485,"Kategori: Alla",117,2000
486,"Kategori: Kläder",108,392
487,"Sökning: IKEA",107,241
488,"Sökning: Elektronik",109,399
489,"Kategori: Elektronik",106,399
490,"Sökning: Nike",106,261
491,"Sortering: name",115,2000
492,"Sortering: price-desc",114,2000
493,"Sökning: Sport",109,404
494,"Kategori: Alla",115,2000
495,"Kategori: Alla",117,2000
496,"Sökning: Elektronik",108,399
497,"Kategori: Hem & Trädgård",106,408
498,"Sortering: name",118,2000
499,"Sökning: IKEA",107,241
500,"Sökning: Apple",107,223
501,"Sökning: Nike",106,261
502,"Sökning: Sport",108,404
503,"Kategori: Leksaker",106,397
504,"Sökning: Sony",106,267
505,"Kategori: Hem & Trädgård",106,408
506,"Sökning: H&M",106,238
507,"Sökning: IKEA",106,241
508,"Kategori: Leksaker",106,397
509,"Kategori: Leksaker",106,397
510,"Kategori: Leksaker",110,397
511,"Sökning: Elektronik",109,399
512,"Sökning: IKEA",106,241
513,"Kategori: Sport",106,404
514,"Sortering: price-desc",114,2000
515,"Kategori: Leksaker",109,397
516,"Kategori: Sport",108,404
517,"Sortering: price-desc",117,2000
518,"Sortering: name",114,2000
519,"Sökning: H&M",106,238
520,"Kategori: Alla",116,2000
521,"Sortering: name",114,2000
522,"Kategori: Sport",107,404
523,"Sökning: Apple",107,223
524,"Sökning: Adidas",106,277
525,"Sökning: Apple",108,223
526,"Sortering: name",115,2000
527,"Sortering: price-desc",120,2000
528,"Kategori: Hem & Trädgård",107,408
529,"Kategori: Kläder",107,392
530,"Sortering: price-desc",113,2000
531,"Sökning: Elektronik",106,399
532,"Sortering: Standard",115,2000
533,"Sökning: IKEA",107,241
534,"Sökning: Sony",105,267
535,"Sökning: Samsung",107,245
536,"Sortering: name",117,2000
537,"Kategori: Hem & Trädgård",108,408
538,"Sortering: price-asc",114,2000
539,"Sortering: Standard",115,2000
540,"Sortering: name",117,2000
541,"Sortering: price-asc",116,2000
542,"Kategori: Sport",108,404
543,"Kategori: Sport",107,404
544,"Sökning: Samsung",105,245
545,"Kategori: Alla",114,2000
546,"Sökning: IKEA",106,241
547,"Sortering: price-desc",114,2000
548,"Sortering: price-asc",114,2000
549,"Sortering: name",117,2000
550,"Kategori: Elektronik",106,399
551,"Sortering: name",119,2000
552,"Sortering: price-desc",117,2000
553,"Sökning: H&M",109,238
554,"Sökning: Samsung",109,245
555,"Sortering: name",114,2000
556,"Sortering: price-asc",114,2000
557,"Kategori: Leksaker",108,397
558,"Sortering: price-desc",114,2000
559,"Sökning: LG",106,248
560,"Sökning: H&M",106,238
561,"Kategori: Kläder",108,392
562,"Sökning: Adidas",106,277
563,"Sökning: H&M",107,238
564,"Sökning: Sport",107,404
565,"Sortering: price-asc",118,2000
566,"Sortering: price-desc",117,2000
567,"Sökning: Sony",107,267
568,"Sortering: price-asc",120,2000
569,"Sökning: Apple",105,223
570,"Sortering: Standard",115,2000
571,"Kategori: Alla",116,2000
572,"Sökning: Sport",107,404
573,"Kategori: Kläder",109,392
574,"Sortering: Standard",114,2000
575,"Sortering: name",127,2000
576,"Sortering: Standard",117,2000
577,"Sökning: Samsung",109,245
578,"Sortering: name",122,2000
579,"Sortering: name",1002,2000
580,"Sortering: name",991,2000
581,"Sökning: H&M",993,238
582,"Kategori: Alla",997,2000
583,"Kategori: Alla",992,2000
584,"Kategori: Leksaker",2147,397
585,"Kategori: Elektronik",1999,399
586,"Sökning: Nike",2001,261
587,"Sortering: price-desc",7997,2000
588,"Sortering: name",122,2000
589,"Sökning: Sport",110,404
590,"Sökning: Apple",111,223
591,"Kategori: Sport",111,404
592,"Sökning: Nike",113,261
593,"Kategori: Kläder",117,392
594,"Kategori: Sport",115,404
595,"Sökning: Nike",112,261
596,"Sortering: price-desc",123,2000
597,"Sortering: price-asc",116,2000
598,"Sökning: LG",111,248
599,"Sökning: Apple",118,223
600,"Sortering: Standard",121,2000
601,"Sökning: Apple",118,223
602,"Kategori: Sport",115,404
603,"Kategori: Sport",120,404
604,"Kategori: Sport",109,404
605,"Sortering: name",120,2000
606,"Sortering: name",118,2000
607,"Kategori: Kläder",116,392
608,"Sortering: Standard",127,2000
609,"Sökning: Sport",116,404
610,"Sortering: Standard",125,2000
611,"Sökning: IKEA",111,241
612,"Kategori: Alla",129,2000
613,"Kategori: Alla",116,2000
614,"Sökning: IKEA",114,241
615,"Kategori: Kläder",116,392
616,"Kategori: Hem & Trädgård",114,408
617,"Sökning: Samsung",114,245
618,"Sortering: Standard",125,2000
619,"Sökning: Nike",111,261
620,"Sortering: price-asc",116,2000
621,"Kategori: Alla",125,2000
622,"Sökning: Sport",114,404
623,"Kategori: Elektronik",112,399
624,"Sökning: Nike",117,261
625,"Sortering: price-asc",129,2000
626,"Sökning: Nike",109,261
627,"Sortering: Standard",128,2000
628,"Kategori: Elektronik",114,399
629,"Sökning: Sport",116,404
630,"Sökning: IKEA",107,241
631,"Sökning: Elektronik",112,399
632,"Kategori: Leksaker",110,397
633,"Sortering: name",122,2000
634,"Sortering: price-asc",127,2000
635,"Kategori: Alla",118,2000
636,"Sortering: price-asc",121,2000
637,"Kategori: Elektronik",112,399
638,"Kategori: Leksaker",119,397
639,"Sökning: LG",110,248
640,"Sökning: Sony",106,267
641,"Sökning: H&M",115,238
642,"Kategori: Hem & Trädgård",121,408
643,"Sortering: Standard",125,2000
644,"Sökning: Adidas",114,277
645,"Sortering: price-desc",124,2000
646,"Sortering: name",121,2000
647,"Sortering: price-asc",115,2000
648,"Sökning: H&M",116,238
649,"Sökning: LG",118,248
650,"Kategori: Alla",124,2000
651,"Sökning: Nike",109,261
652,"Sortering: price-desc",125,2000
653,"Sökning: Samsung",114,245
654,"Sökning: LG",116,248
655,"Sortering: Standard",125,2000
656,"Sökning: Elektronik",112,399
657,"Sökning: LG",117,248
658,"Kategori: Alla",115,2000
659,"Sökning: IKEA",114,241
660,"Sortering: name",128,2000
661,"Sökning: Sport",113,404
662,"Kategori: Alla",127,2000
663,"Sortering: Standard",119,2000
664,"Kategori: Sport",106,404
665,"Sökning: Sport",111,404
666,"Sortering: price-asc",127,2000
667,"Sökning: LG",112,248
668,"Sortering: price-desc",125,2000
669,"Sökning: H&M",112,238
670,"Sökning: LG",114,248
671,"Sortering: price-desc",125,2000
672,"Sökning: Samsung",110,245
673,"Sortering: price-desc",118,2000
674,"Sortering: Standard",115,2000
675,"Kategori: Leksaker",117,397
676,"Sökning: IKEA",115,241
677,"Sökning: Sport",111,404
678,"Sortering: price-asc",122,2000
679,"Sortering: price-asc",128,2000
680,"Sortering: price-asc",122,2000
681,"Sökning: LG",113,248
682,"Kategori: Kläder",114,392
683,"Kategori: Leksaker",118,397
684,"Sökning: Elektronik",118,399
685,"Sökning: LG",108,248
686,"Sökning: Sport",110,404
687,"Sökning: LG",109,248
688,"Sökning: H&M",114,238
689,"Sortering: Standard",126,2000
690,"Sortering: price-asc",124,2000
691,"Kategori: Elektronik",115,399
692,"Sortering: price-asc",128,2000
693,"Sortering: price-asc",131,2000
694,"Sortering: name",117,2000
695,"Kategori: Sport",114,404
696,"Sökning: Sony",113,267
697,"Kategori: Alla",118,2000
698,"Sortering: Standard",121,2000
699,"Kategori: Kläder",110,392
700,"Sökning: Sport",117,404
701,"Kategori: Alla",123,2000
702,"Sortering: name",125,2000
703,"Sökning: Sport",117,404
704,"Sortering: Standard",124,2000
705,"Sortering: name",121,2000
706,"Sökning: LG",107,248
707,"Kategori: Elektronik",110,399
708,"Kategori: Elektronik",114,399
709,"Sökning: Nike",115,261
710,"Kategori: Alla",125,2000
711,"Kategori: Elektronik",114,399
712,"Kategori: Kläder",113,392
713,"Sortering: price-asc",124,2000
714,"Kategori: Hem & Trädgård",113,408
715,"Sökning: Adidas",109,277
716,"Sökning: H&M",116,238
717,"Sökning: H&M",114,238
718,"Sortering: name",118,2000
719,"Kategori: Leksaker",114,397
720,"Sökning: Sport",121,404
721,"Sortering: Standard",117,2000
722,"Sökning: LG",117,248
723,"Kategori: Hem & Trädgård",117,408
724,"Sortering: price-asc",128,2000
725,"Sortering: name",125,2000
726,"Kategori: Kläder",113,392
727,"Sökning: IKEA",113,241
728,"Sortering: name",119,2000
729,"Sökning: Sony",111,267
730,"Kategori: Elektronik",109,399
731,"Sortering: Standard",122,2000
732,"Sökning: Sony",112,267
733,"Sökning: Adidas",118,277
734,"Sökning: Apple",111,223
735,"Kategori: Elektronik",120,399
736,"Sökning: H&M",113,238
737,"Kategori: Elektronik",110,399
738,"Kategori: Sport",111,404
739,"Sortering: price-asc",129,2000
740,"Sökning: Adidas",112,277
741,"Sortering: price-desc",118,2000
742,"Sökning: H&M",114,238
743,"Kategori: Alla",126,2000
744,"Sökning: Samsung",115,245
745,"Kategori: Elektronik",111,399
746,"Sortering: price-desc",117,2000
747,"Sökning: H&M",115,238
748,"Kategori: Leksaker",117,397
749,"Sökning: Sony",110,267
750,"Sortering: Standard",124,2000
751,"Sortering: name",127,2000
752,"Sortering: name",127,2000
753,"Sortering: price-asc",124,2000
754,"Sökning: Sony",114,267
755,"Sortering: price-desc",117,2000
756,"Sortering: price-asc",125,2000
757,"Sökning: Samsung",110,245
758,"Sökning: IKEA",116,241
759,"Kategori: Sport",112,404
760,"Sortering: Standard",125,2000
761,"Sortering: name",123,2000
762,"Kategori: Alla",125,2000
763,"Sortering: price-desc",127,2000
764,"Sortering: Standard",128,2000
765,"Kategori: Leksaker",109,397
766,"Kategori: Kläder",111,392
767,"Sökning: Apple",111,223
768,"Kategori: Elektronik",115,399
769,"Kategori: Elektronik",114,399
770,"Sökning: Sport",120,404
771,"Kategori: Leksaker",112,397
772,"Kategori: Sport",114,404
773,"Kategori: Hem & Trädgård",112,408
774,"Sökning: Elektronik",115,399
775,"Sökning: Sony",115,267
776,"Kategori: Kläder",113,392
777,"Sortering: price-asc",123,2000
778,"Sökning: H&M",115,238
779,"Sökning: Elektronik",111,399
780,"Kategori: Leksaker",115,397
781,"Sökning: Sony",117,267
782,"Kategori: Hem & Trädgård",111,408
783,"Sortering: name",120,2000
784,"Kategori: Elektronik",112,399
785,"Sökning: Nike",115,261
786,"Sortering: price-desc",117,2000
787,"Sortering: price-asc",129,2000
788,"Kategori: Alla",130,2000
789,"Kategori: Hem & Trädgård",114,408
790,"Sökning: LG",114,248
791,"Sortering: name",115,2000
792,"Kategori: Elektronik",112,399
793,"Sortering: Standard",126,2000
794,"Sortering: name",125,2000
795,"Kategori: Alla",127,2000
796,"Sökning: LG",110,248
797,"Sortering: Standard",128,2000
798,"Sökning: Elektronik",111,399
799,"Kategori: Elektronik",110,399
800,"Kategori: Kläder",113,392
801,"Sortering: Standard",117,2000
802,"Sortering: name",123,2000
803,"Kategori: Leksaker",109,397
804,"Sökning: Sony",114,267
805,"Sökning: Sport",112,404
806,"Sökning: Apple",119,223
807,"Sortering: Standard",118,2000
808,"Sökning: Nike",114,261
809,"Kategori: Alla",128,2000
810,"Sortering: price-asc",129,2000
811,"Kategori: Sport",114,404
812,"Kategori: Alla",124,2000
813,"Kategori: Alla",120,2000
814,"Sökning: Sony",113,267
815,"Sökning: Elektronik",117,399
816,"Sortering: price-desc",126,2000
817,"Kategori: Hem & Trädgård",117,408
818,"Sökning: Nike",108,261
